shape,boxes,labels,models,obbs,ops,part_mesh_indices,syms
Bag_135,dropbox/Bag/boxes/135.mat,dropbox/Bag/labels/135.mat,dropbox/Bag/models/9430.obj,dropbox/Bag/obbs/9430.obb,dropbox/Bag/ops/135.mat,dropbox/Bag/part mesh indices/135.mat,dropbox/Bag/syms/135.mat
Bag_136,dropbox/Bag/boxes/136.mat,dropbox/Bag/labels/136.mat,dropbox/Bag/models/9432.obj,dropbox/Bag/obbs/9432.obb,dropbox/Bag/ops/136.mat,dropbox/Bag/part mesh indices/136.mat,dropbox/Bag/syms/136.mat
Bag_137,dropbox/Bag/boxes/137.mat,dropbox/Bag/labels/137.mat,dropbox/Bag/models/9434.obj,dropbox/Bag/obbs/9434.obb,dropbox/Bag/ops/137.mat,dropbox/Bag/part mesh indices/137.mat,dropbox/Bag/syms/137.mat
Bag_138,dropbox/Bag/boxes/138.mat,dropbox/Bag/labels/138.mat,dropbox/Bag/models/9435.obj,dropbox/Bag/obbs/9435.obb,dropbox/Bag/ops/138.mat,dropbox/Bag/part mesh indices/138.mat,dropbox/Bag/syms/138.mat
Bag_139,dropbox/Bag/boxes/139.mat,dropbox/Bag/labels/139.mat,dropbox/Bag/models/9438.obj,dropbox/Bag/obbs/9438.obb,dropbox/Bag/ops/139.mat,dropbox/Bag/part mesh indices/139.mat,dropbox/Bag/syms/139.mat
Bag_14,dropbox/Bag/boxes/14.mat,dropbox/Bag/labels/14.mat,dropbox/Bag/models/8409.obj,dropbox/Bag/obbs/8409.obb,dropbox/Bag/ops/14.mat,dropbox/Bag/part mesh indices/14.mat,dropbox/Bag/syms/14.mat
Bag_140,dropbox/Bag/boxes/140.mat,dropbox/Bag/labels/140.mat,dropbox/Bag/models/9446.obj,dropbox/Bag/obbs/9446.obb,dropbox/Bag/ops/140.mat,dropbox/Bag/part mesh indices/140.mat,dropbox/Bag/syms/140.mat
Bag_141,dropbox/Bag/boxes/141.mat,dropbox/Bag/labels/141.mat,dropbox/Bag/models/9515.obj,dropbox/Bag/obbs/9515.obb,dropbox/Bag/ops/141.mat,dropbox/Bag/part mesh indices/141.mat,dropbox/Bag/syms/141.mat
Bag_142,dropbox/Bag/boxes/142.mat,dropbox/Bag/labels/142.mat,dropbox/Bag/models/9537.obj,dropbox/Bag/obbs/9537.obb,dropbox/Bag/ops/142.mat,dropbox/Bag/part mesh indices/142.mat,dropbox/Bag/syms/142.mat
Bag_143,dropbox/Bag/boxes/143.mat,dropbox/Bag/labels/143.mat,dropbox/Bag/models/9544.obj,dropbox/Bag/obbs/9544.obb,dropbox/Bag/ops/143.mat,dropbox/Bag/part mesh indices/143.mat,dropbox/Bag/syms/143.mat
Bag_144,dropbox/Bag/boxes/144.mat,dropbox/Bag/labels/144.mat,dropbox/Bag/models/9545.obj,dropbox/Bag/obbs/9545.obb,dropbox/Bag/ops/144.mat,dropbox/Bag/part mesh indices/144.mat,dropbox/Bag/syms/144.mat
Bag_145,dropbox/Bag/boxes/145.mat,dropbox/Bag/labels/145.mat,dropbox/Bag/models/9546.obj,dropbox/Bag/obbs/9546.obb,dropbox/Bag/ops/145.mat,dropbox/Bag/part mesh indices/145.mat,dropbox/Bag/syms/145.mat
Bag_146,dropbox/Bag/boxes/146.mat,dropbox/Bag/labels/146.mat,dropbox/Bag/models/9552.obj,dropbox/Bag/obbs/9552.obb,dropbox/Bag/ops/146.mat,dropbox/Bag/part mesh indices/146.mat,dropbox/Bag/syms/146.mat
Bag_147,dropbox/Bag/boxes/147.mat,dropbox/Bag/labels/147.mat,dropbox/Bag/models/9554.obj,dropbox/Bag/obbs/9554.obb,dropbox/Bag/ops/147.mat,dropbox/Bag/part mesh indices/147.mat,dropbox/Bag/syms/147.mat
Bag_148,dropbox/Bag/boxes/148.mat,dropbox/Bag/labels/148.mat,dropbox/Bag/models/9560.obj,dropbox/Bag/obbs/9560.obb,dropbox/Bag/ops/148.mat,dropbox/Bag/part mesh indices/148.mat,dropbox/Bag/syms/148.mat
Bag_149,dropbox/Bag/boxes/149.mat,dropbox/Bag/labels/149.mat,dropbox/Bag/models/9562.obj,dropbox/Bag/obbs/9562.obb,dropbox/Bag/ops/149.mat,dropbox/Bag/part mesh indices/149.mat,dropbox/Bag/syms/149.mat
Bag_15,dropbox/Bag/boxes/15.mat,dropbox/Bag/labels/15.mat,dropbox/Bag/models/8411.obj,dropbox/Bag/obbs/8411.obb,dropbox/Bag/ops/15.mat,dropbox/Bag/part mesh indices/15.mat,dropbox/Bag/syms/15.mat
Bag_150,dropbox/Bag/boxes/150.mat,dropbox/Bag/labels/150.mat,dropbox/Bag/models/9563.obj,dropbox/Bag/obbs/9563.obb,dropbox/Bag/ops/150.mat,dropbox/Bag/part mesh indices/150.mat,dropbox/Bag/syms/150.mat
Bag_151,dropbox/Bag/boxes/151.mat,dropbox/Bag/labels/151.mat,dropbox/Bag/models/9573.obj,dropbox/Bag/obbs/9573.obb,dropbox/Bag/ops/151.mat,dropbox/Bag/part mesh indices/151.mat,dropbox/Bag/syms/151.mat
Bag_152,dropbox/Bag/boxes/152.mat,dropbox/Bag/labels/152.mat,dropbox/Bag/models/9574.obj,dropbox/Bag/obbs/9574.obb,dropbox/Bag/ops/152.mat,dropbox/Bag/part mesh indices/152.mat,dropbox/Bag/syms/152.mat
Bag_153,dropbox/Bag/boxes/153.mat,dropbox/Bag/labels/153.mat,dropbox/Bag/models/9576.obj,dropbox/Bag/obbs/9576.obb,dropbox/Bag/ops/153.mat,dropbox/Bag/part mesh indices/153.mat,dropbox/Bag/syms/153.mat
Bag_154,dropbox/Bag/boxes/154.mat,dropbox/Bag/labels/154.mat,dropbox/Bag/models/9583.obj,dropbox/Bag/obbs/9583.obb,dropbox/Bag/ops/154.mat,dropbox/Bag/part mesh indices/154.mat,dropbox/Bag/syms/154.mat
Bag_16,dropbox/Bag/boxes/16.mat,dropbox/Bag/labels/16.mat,dropbox/Bag/models/8412.obj,dropbox/Bag/obbs/8412.obb,dropbox/Bag/ops/16.mat,dropbox/Bag/part mesh indices/16.mat,dropbox/Bag/syms/16.mat
Bag_17,dropbox/Bag/boxes/17.mat,dropbox/Bag/labels/17.mat,dropbox/Bag/models/8430.obj,dropbox/Bag/obbs/8430.obb,dropbox/Bag/ops/17.mat,dropbox/Bag/part mesh indices/17.mat,dropbox/Bag/syms/17.mat
Bag_18,dropbox/Bag/boxes/18.mat,dropbox/Bag/labels/18.mat,dropbox/Bag/models/8517.obj,dropbox/Bag/obbs/8517.obb,dropbox/Bag/ops/18.mat,dropbox/Bag/part mesh indices/18.mat,dropbox/Bag/syms/18.mat
Bag_19,dropbox/Bag/boxes/19.mat,dropbox/Bag/labels/19.mat,dropbox/Bag/models/8532.obj,dropbox/Bag/obbs/8532.obb,dropbox/Bag/ops/19.mat,dropbox/Bag/part mesh indices/19.mat,dropbox/Bag/syms/19.mat
Bag_2,dropbox/Bag/boxes/2.mat,dropbox/Bag/labels/2.mat,dropbox/Bag/models/13207.obj,dropbox/Bag/obbs/13207.obb,dropbox/Bag/ops/2.mat,dropbox/Bag/part mesh indices/2.mat,dropbox/Bag/syms/2.mat
Bag_20,dropbox/Bag/boxes/20.mat,dropbox/Bag/labels/20.mat,dropbox/Bag/models/8541.obj,dropbox/Bag/obbs/8541.obb,dropbox/Bag/ops/20.mat,dropbox/Bag/part mesh indices/20.mat,dropbox/Bag/syms/20.mat
Bag_21,dropbox/Bag/boxes/21.mat,dropbox/Bag/labels/21.mat,dropbox/Bag/models/8570.obj,dropbox/Bag/obbs/8570.obb,dropbox/Bag/ops/21.mat,dropbox/Bag/part mesh indices/21.mat,dropbox/Bag/syms/21.mat
Bag_22,dropbox/Bag/boxes/22.mat,dropbox/Bag/labels/22.mat,dropbox/Bag/models/8571.obj,dropbox/Bag/obbs/8571.obb,dropbox/Bag/ops/22.mat,dropbox/Bag/part mesh indices/22.mat,dropbox/Bag/syms/22.mat
Bag_23,dropbox/Bag/boxes/23.mat,dropbox/Bag/labels/23.mat,dropbox/Bag/models/8653.obj,dropbox/Bag/obbs/8653.obb,dropbox/Bag/ops/23.mat,dropbox/Bag/part mesh indices/23.mat,dropbox/Bag/syms/23.mat
Bag_24,dropbox/Bag/boxes/24.mat,dropbox/Bag/labels/24.mat,dropbox/Bag/models/8668.obj,dropbox/Bag/obbs/8668.obb,dropbox/Bag/ops/24.mat,dropbox/Bag/part mesh indices/24.mat,dropbox/Bag/syms/24.mat
Bag_25,dropbox/Bag/boxes/25.mat,dropbox/Bag/labels/25.mat,dropbox/Bag/models/8673.obj,dropbox/Bag/obbs/8673.obb,dropbox/Bag/ops/25.mat,dropbox/Bag/part mesh indices/25.mat,dropbox/Bag/syms/25.mat
Bag_26,dropbox/Bag/boxes/26.mat,dropbox/Bag/labels/26.mat,dropbox/Bag/models/8693.obj,dropbox/Bag/obbs/8693.obb,dropbox/Bag/ops/26.mat,dropbox/Bag/part mesh indices/26.mat,dropbox/Bag/syms/26.mat
Bag_27,dropbox/Bag/boxes/27.mat,dropbox/Bag/labels/27.mat,dropbox/Bag/models/8694.obj,dropbox/Bag/obbs/8694.obb,dropbox/Bag/ops/27.mat,dropbox/Bag/part mesh indices/27.mat,dropbox/Bag/syms/27.mat
Bag_28,dropbox/Bag/boxes/28.mat,dropbox/Bag/labels/28.mat,dropbox/Bag/models/8713.obj,dropbox/Bag/obbs/8713.obb,dropbox/Bag/ops/28.mat,dropbox/Bag/part mesh indices/28.mat,dropbox/Bag/syms/28.mat
Bag_29,dropbox/Bag/boxes/29.mat,dropbox/Bag/labels/29.mat,dropbox/Bag/models/8714.obj,dropbox/Bag/obbs/8714.obb,dropbox/Bag/ops/29.mat,dropbox/Bag/part mesh indices/29.mat,dropbox/Bag/syms/29.mat
Bag_3,dropbox/Bag/boxes/3.mat,dropbox/Bag/labels/3.mat,dropbox/Bag/models/13208.obj,dropbox/Bag/obbs/13208.obb,dropbox/Bag/ops/3.mat,dropbox/Bag/part mesh indices/3.mat,dropbox/Bag/syms/3.mat
Bag_30,dropbox/Bag/boxes/30.mat,dropbox/Bag/labels/30.mat,dropbox/Bag/models/8801.obj,dropbox/Bag/obbs/8801.obb,dropbox/Bag/ops/30.mat,dropbox/Bag/part mesh indices/30.mat,dropbox/Bag/syms/30.mat
Bag_31,dropbox/Bag/boxes/31.mat,dropbox/Bag/labels/31.mat,dropbox/Bag/models/8821.obj,dropbox/Bag/obbs/8821.obb,dropbox/Bag/ops/31.mat,dropbox/Bag/part mesh indices/31.mat,dropbox/Bag/syms/31.mat
Bag_32,dropbox/Bag/boxes/32.mat,dropbox/Bag/labels/32.mat,dropbox/Bag/models/8869.obj,dropbox/Bag/obbs/8869.obb,dropbox/Bag/ops/32.mat,dropbox/Bag/part mesh indices/32.mat,dropbox/Bag/syms/32.mat
Bag_33,dropbox/Bag/boxes/33.mat,dropbox/Bag/labels/33.mat,dropbox/Bag/models/8871.obj,dropbox/Bag/obbs/8871.obb,dropbox/Bag/ops/33.mat,dropbox/Bag/part mesh indices/33.mat,dropbox/Bag/syms/33.mat
Bag_34,dropbox/Bag/boxes/34.mat,dropbox/Bag/labels/34.mat,dropbox/Bag/models/8878.obj,dropbox/Bag/obbs/8878.obb,dropbox/Bag/ops/34.mat,dropbox/Bag/part mesh indices/34.mat,dropbox/Bag/syms/34.mat
Bag_35,dropbox/Bag/boxes/35.mat,dropbox/Bag/labels/35.mat,dropbox/Bag/models/8879.obj,dropbox/Bag/obbs/8879.obb,dropbox/Bag/ops/35.mat,dropbox/Bag/part mesh indices/35.mat,dropbox/Bag/syms/35.mat
Bag_36,dropbox/Bag/boxes/36.mat,dropbox/Bag/labels/36.mat,dropbox/Bag/models/8880.obj,dropbox/Bag/obbs/8880.obb,dropbox/Bag/ops/36.mat,dropbox/Bag/part mesh indices/36.mat,dropbox/Bag/syms/36.mat
Bag_37,dropbox/Bag/boxes/37.mat,dropbox/Bag/labels/37.mat,dropbox/Bag/models/8886.obj,dropbox/Bag/obbs/8886.obb,dropbox/Bag/ops/37.mat,dropbox/Bag/part mesh indices/37.mat,dropbox/Bag/syms/37.mat
Bag_38,dropbox/Bag/boxes/38.mat,dropbox/Bag/labels/38.mat,dropbox/Bag/models/8889.obj,dropbox/Bag/obbs/8889.obb,dropbox/Bag/ops/38.mat,dropbox/Bag/part mesh indices/38.mat,dropbox/Bag/syms/38.mat
Bag_39,dropbox/Bag/boxes/39.mat,dropbox/Bag/labels/39.mat,dropbox/Bag/models/8894.obj,dropbox/Bag/obbs/8894.obb,dropbox/Bag/ops/39.mat,dropbox/Bag/part mesh indices/39.mat,dropbox/Bag/syms/39.mat
Bag_4,dropbox/Bag/boxes/4.mat,dropbox/Bag/labels/4.mat,dropbox/Bag/models/13209.obj,dropbox/Bag/obbs/13209.obb,dropbox/Bag/ops/4.mat,dropbox/Bag/part mesh indices/4.mat,dropbox/Bag/syms/4.mat
Bag_40,dropbox/Bag/boxes/40.mat,dropbox/Bag/labels/40.mat,dropbox/Bag/models/8899.obj,dropbox/Bag/obbs/8899.obb,dropbox/Bag/ops/40.mat,dropbox/Bag/part mesh indices/40.mat,dropbox/Bag/syms/40.mat
Bag_41,dropbox/Bag/boxes/41.mat,dropbox/Bag/labels/41.mat,dropbox/Bag/models/8907.obj,dropbox/Bag/obbs/8907.obb,dropbox/Bag/ops/41.mat,dropbox/Bag/part mesh indices/41.mat,dropbox/Bag/syms/41.mat
Bag_42,dropbox/Bag/boxes/42.mat,dropbox/Bag/labels/42.mat,dropbox/Bag/models/8908.obj,dropbox/Bag/obbs/8908.obb,dropbox/Bag/ops/42.mat,dropbox/Bag/part mesh indices/42.mat,dropbox/Bag/syms/42.mat
Bag_43,dropbox/Bag/boxes/43.mat,dropbox/Bag/labels/43.mat,dropbox/Bag/models/8913.obj,dropbox/Bag/obbs/8913.obb,dropbox/Bag/ops/43.mat,dropbox/Bag/part mesh indices/43.mat,dropbox/Bag/syms/43.mat
Bag_44,dropbox/Bag/boxes/44.mat,dropbox/Bag/labels/44.mat,dropbox/Bag/models/8917.obj,dropbox/Bag/obbs/8917.obb,dropbox/Bag/ops/44.mat,dropbox/Bag/part mesh indices/44.mat,dropbox/Bag/syms/44.mat
Bag_45,dropbox/Bag/boxes/45.mat,dropbox/Bag/labels/45.mat,dropbox/Bag/models/8920.obj,dropbox/Bag/obbs/8920.obb,dropbox/Bag/ops/45.mat,dropbox/Bag/part mesh indices/45.mat,dropbox/Bag/syms/45.mat
Bag_46,dropbox/Bag/boxes/46.mat,dropbox/Bag/labels/46.mat,dropbox/Bag/models/8922.obj,dropbox/Bag/obbs/8922.obb,dropbox/Bag/ops/46.mat,dropbox/Bag/part mesh indices/46.mat,dropbox/Bag/syms/46.mat
Bag_47,dropbox/Bag/boxes/47.mat,dropbox/Bag/labels/47.mat,dropbox/Bag/models/8929.obj,dropbox/Bag/obbs/8929.obb,dropbox/Bag/ops/47.mat,dropbox/Bag/part mesh indices/47.mat,dropbox/Bag/syms/47.mat
Bag_48,dropbox/Bag/boxes/48.mat,dropbox/Bag/labels/48.mat,dropbox/Bag/models/8932.obj,dropbox/Bag/obbs/8932.obb,dropbox/Bag/ops/48.mat,dropbox/Bag/part mesh indices/48.mat,dropbox/Bag/syms/48.mat
Bag_49,dropbox/Bag/boxes/49.mat,dropbox/Bag/labels/49.mat,dropbox/Bag/models/8952.obj,dropbox/Bag/obbs/8952.obb,dropbox/Bag/ops/49.mat,dropbox/Bag/part mesh indices/49.mat,dropbox/Bag/syms/49.mat
Bag_5,dropbox/Bag/boxes/5.mat,dropbox/Bag/labels/5.mat,dropbox/Bag/models/13213.obj,dropbox/Bag/obbs/13213.obb,dropbox/Bag/ops/5.mat,dropbox/Bag/part mesh indices/5.mat,dropbox/Bag/syms/5.mat
Bag_50,dropbox/Bag/boxes/50.mat,dropbox/Bag/labels/50.mat,dropbox/Bag/models/8953.obj,dropbox/Bag/obbs/8953.obb,dropbox/Bag/ops/50.mat,dropbox/Bag/part mesh indices/50.mat,dropbox/Bag/syms/50.mat
Bag_51,dropbox/Bag/boxes/51.mat,dropbox/Bag/labels/51.mat,dropbox/Bag/models/8960.obj,dropbox/Bag/obbs/8960.obb,dropbox/Bag/ops/51.mat,dropbox/Bag/part mesh indices/51.mat,dropbox/Bag/syms/51.mat
Bag_52,dropbox/Bag/boxes/52.mat,dropbox/Bag/labels/52.mat,dropbox/Bag/models/8964.obj,dropbox/Bag/obbs/8964.obb,dropbox/Bag/ops/52.mat,dropbox/Bag/part mesh indices/52.mat,dropbox/Bag/syms/52.mat
Bag_53,dropbox/Bag/boxes/53.mat,dropbox/Bag/labels/53.mat,dropbox/Bag/models/8968.obj,dropbox/Bag/obbs/8968.obb,dropbox/Bag/ops/53.mat,dropbox/Bag/part mesh indices/53.mat,dropbox/Bag/syms/53.mat
Bag_54,dropbox/Bag/boxes/54.mat,dropbox/Bag/labels/54.mat,dropbox/Bag/models/8970.obj,dropbox/Bag/obbs/8970.obb,dropbox/Bag/ops/54.mat,dropbox/Bag/part mesh indices/54.mat,dropbox/Bag/syms/54.mat
